druid,purl,Title,Subtitle,Date,Type,Type URI
druid:bn386yg4702,https://purl.stanford.edu/bn386yg4702,Julian Bond,,,still image,http://vocab.getty.edu/aat/300046300
druid:bn409xq9774,https://purl.stanford.edu/bn409xq9774,Ujamaa posters,,,text,http://vocab.getty.edu/aat/300027221
druid:bn453hj9554,https://purl.stanford.edu/bn453hj9554,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bn568sc3845,https://purl.stanford.edu/bn568sc3845,This purl was released by mistake and will be removed once the catalog updates,,,,
druid:bn919bq5601,https://purl.stanford.edu/bn919bq5601,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bn988pv5015,https://purl.stanford.edu/bn988pv5015,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:bp159cg3883,https://purl.stanford.edu/bp159cg3883,Boycott,,1985,still image,
druid:bp344zf9345,https://purl.stanford.edu/bp344zf9345,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bp365vf9534,https://purl.stanford.edu/bp365vf9534,Michelle Walsh,,4/6/19,text,http://id.loc.gov/vocabulary/marcgt/int
druid:bp418mf8445,https://purl.stanford.edu/bp418mf8445,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bp448zd3888,https://purl.stanford.edu/bp448zd3888,"News release- Nationwide Call for Action and Strikes Against Apartheid for Wednesday, April 24, 1985",,4/24/85,mixed material,
druid:bp847fd0453,https://purl.stanford.edu/bp847fd0453,F16-AFRICAAM-28-01,Health Impact Of Sexual Assault And Relationship Abuse Across The Lifecourse,2016,text,http://vocab.getty.edu/aat/300028026
druid:bp847tp6549,https://purl.stanford.edu/bp847tp6549,Julian Bond,,,still image,http://vocab.getty.edu/aat/300046300
druid:bp889md7671,https://purl.stanford.edu/bp889md7671,Chronology of anti-apartheid protests against South Africa,,1985,mixed material,
druid:bq036fh6509,https://purl.stanford.edu/bq036fh6509,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bq101hp6708,https://purl.stanford.edu/bq101hp6708,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:bq290tw7585,https://purl.stanford.edu/bq290tw7585,"Senior Semi-Formal, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bq339bc4308,https://purl.stanford.edu/bq339bc4308,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bq384ch1658,https://purl.stanford.edu/bq384ch1658,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bq545wc1724,https://purl.stanford.edu/bq545wc1724,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bq782pp3515,https://purl.stanford.edu/bq782pp3515,"Don't you have something to add on this discussion on racial disparities? - said at SLS. Racism Lives Here Too, 2018",,2018-02,still image,http://vocab.getty.edu/aat/300027221
druid:bq801hx0827,https://purl.stanford.edu/bq801hx0827,Clayborne Carson - Associate Professor History,,8/8/85,still image,http://vocab.getty.edu/aat/300046300
druid:br002qg8656,https://purl.stanford.edu/br002qg8656,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:br069jf4130,https://purl.stanford.edu/br069jf4130,Collard Greens Cultural Festival,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:br101rc8044,https://purl.stanford.edu/br101rc8044,Rastafari!,,,still image,
druid:br116xm8223,https://purl.stanford.edu/br116xm8223,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:br432mh4651,https://purl.stanford.edu/br432mh4651,"Stanford University. Martin Luther King, Jr. Birthday Commemoration January, 1988 (schedule of events)",,1988-01,still image,http://vocab.getty.edu/aat/300027221
druid:br617kt0123,https://purl.stanford.edu/br617kt0123,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:br930cd3330,https://purl.stanford.edu/br930cd3330,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bs040hr9595,https://purl.stanford.edu/bs040hr9595,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bs156gt1222,https://purl.stanford.edu/bs156gt1222,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bs406vz2613,https://purl.stanford.edu/bs406vz2613,"Photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bs468pp4543,https://purl.stanford.edu/bs468pp4543,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bs540rz2629,https://purl.stanford.edu/bs540rz2629,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:bs569xz6723,https://purl.stanford.edu/bs569xz6723,Clayborne Carson - Associate Professor History,,8/8/85,still image,http://vocab.getty.edu/aat/300046300
druid:bs814sr2886,https://purl.stanford.edu/bs814sr2886,"Ujamaa, Bobby Seale",,,still image,http://vocab.getty.edu/aat/300046300
druid:bs816cr1543,https://purl.stanford.edu/bs816cr1543,Terri Richardson,,4/6/19,text,http://id.loc.gov/vocabulary/marcgt/int
druid:bs850zc5244,https://purl.stanford.edu/bs850zc5244,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bt055wn4219,https://purl.stanford.edu/bt055wn4219,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:bt118bg4479,https://purl.stanford.edu/bt118bg4479,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bt124rb3440,https://purl.stanford.edu/bt124rb3440,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bt390pj1881,https://purl.stanford.edu/bt390pj1881,"Addendum to Environmental Impact Report WCC 75-E-0011 Proposed Amendment of the General Plan for Parkwood, Ltd. Properties",,,,
druid:bt391bb9360,https://purl.stanford.edu/bt391bb9360,Dennis Brutus-South African Poet and Activist-Speaking at Kresge Auditorium,,10/26/85,still image,http://vocab.getty.edu/aat/300046300
druid:bt439cx8205,https://purl.stanford.edu/bt439cx8205,Black student tutoring program,,6/29/70,still image,http://vocab.getty.edu/aat/300046300
druid:bt475qy8799,https://purl.stanford.edu/bt475qy8799,"McDonald, E. B. (Sam)",,,still image,http://vocab.getty.edu/aat/300127104
druid:bt592cn3944,https://purl.stanford.edu/bt592cn3944,The,Black Family Picnic,1983-10,still image,
druid:bt649pm1585,https://purl.stanford.edu/bt649pm1585,"Ella Fitzgerald and Duke Ellington, Jazz Year 1965",,10/31/65,still image,http://vocab.getty.edu/aat/300046300
druid:bt655gy0535,https://purl.stanford.edu/bt655gy0535,East Palo Alto/Nairobi Legacy Reunion,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:bt942vw4855,https://purl.stanford.edu/bt942vw4855,South Africa Divestment protest at President's Office,,7/26/85,still image,http://vocab.getty.edu/aat/300046300
druid:bt980mk7620,https://purl.stanford.edu/bt980mk7620,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bv194wd6865,https://purl.stanford.edu/bv194wd6865,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:bv387wm3034,https://purl.stanford.edu/bv387wm3034,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bv421nj2229,https://purl.stanford.edu/bv421nj2229,South Africa divestment protest,,1985,still image,http://vocab.getty.edu/aat/300046300
druid:bv526rt6239,https://purl.stanford.edu/bv526rt6239,Minority Students at Stanford,,,text,
druid:bv584gp6524,https://purl.stanford.edu/bv584gp6524,Malcolm X movie poster,,,still image,http://vocab.getty.edu/aat/300224742
druid:bv903jt6584,https://purl.stanford.edu/bv903jt6584,"Parents Weekend, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:bw012dt3402,https://purl.stanford.edu/bw012dt3402,Comeup Collective Podcast,"S01 E05, #blackaf",5/10/20,moving image,http://vocab.getty.edu/aat/300310137
druid:bw172vg5646,https://purl.stanford.edu/bw172vg5646,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bw173dk9278,https://purl.stanford.edu/bw173dk9278,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bw191hc0311,https://purl.stanford.edu/bw191hc0311,Tonya Coats,,4/5/19,text,http://id.loc.gov/vocabulary/marcgt/int
druid:bw198rw7024,https://purl.stanford.edu/bw198rw7024,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:bw279kv7070,https://purl.stanford.edu/bw279kv7070,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bw435qb7429,https://purl.stanford.edu/bw435qb7429,"Ujamaa, dorm life",,,still image,http://vocab.getty.edu/aat/300046300
druid:bw455rr3867,https://purl.stanford.edu/bw455rr3867,The,Wizz,,still image,
druid:bw597yj7298,https://purl.stanford.edu/bw597yj7298,Making the Spirit of 20th and 21st Century Culture,2-jan,,moving image,http://vocab.getty.edu/aat/300069200
druid:bw615ff7006,https://purl.stanford.edu/bw615ff7006,W12-AFRICAAM-21-01,African American Vernacular English,2012,text,http://vocab.getty.edu/aat/300028026
druid:bw681sm1087,https://purl.stanford.edu/bw681sm1087,AIT_14327/2022_06,,,,
druid:bw788yv0430,https://purl.stanford.edu/bw788yv0430,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bw819ws1548,https://purl.stanford.edu/bw819ws1548,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bw949vg5449,https://purl.stanford.edu/bw949vg5449,AIT_14327/2022_07,,,,
druid:bw988vf8019,https://purl.stanford.edu/bw988vf8019,"Personal Recollections of Martin Luther King, Jr.",,1/21/85,still image,http://vocab.getty.edu/aat/300224742
druid:bx072by2292,https://purl.stanford.edu/bx072by2292,"Black Lives Matter memorial, Stanford University",,7/12/20,still image,http://vocab.getty.edu/aat/300417379
druid:bx288mf3515,https://purl.stanford.edu/bx288mf3515,Grapevine,,4/22/83,text,
druid:bx311tr4309,https://purl.stanford.edu/bx311tr4309,A Cultural Celebration and Dance,,,still image,http://vocab.getty.edu/aat/300224742
druid:bx473yb7340,https://purl.stanford.edu/bx473yb7340,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bx575nf8063,https://purl.stanford.edu/bx575nf8063,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bx580mw5849,https://purl.stanford.edu/bx580mw5849,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:bx828mr4091,https://purl.stanford.edu/bx828mr4091,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:bx936vb2233,https://purl.stanford.edu/bx936vb2233,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:bx965fz2274,https://purl.stanford.edu/bx965fz2274,Stanfunk III,,,still image,http://vocab.getty.edu/aat/300224742
druid:by070qg7463,https://purl.stanford.edu/by070qg7463,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:by165kp3597,https://purl.stanford.edu/by165kp3597,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:by198sn6504,https://purl.stanford.edu/by198sn6504,Sp16-AFRICAAM-54N-01,African American Women's Lives,2016,text,http://vocab.getty.edu/aat/300028026
druid:by471hx6669,https://purl.stanford.edu/by471hx6669,Grapevine,,4/29/83,text,
druid:by650cg3118,https://purl.stanford.edu/by650cg3118,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:by761vs9484,https://purl.stanford.edu/by761vs9484,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:by774rx3179,https://purl.stanford.edu/by774rx3179,South Carolina Sea Islands Learning Expedition,Tapes 9-10,1999,moving image,http://vocab.getty.edu/aat/300265794
druid:by788bg1547,https://purl.stanford.edu/by788bg1547,The,Women Of Ujamaa B-wing Present Women's Nite,,still image,
druid:by877jd0110,https://purl.stanford.edu/by877jd0110,Collard Greens Cultural Festival,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:by895pc9285,https://purl.stanford.edu/by895pc9285,"Photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:by959cn4518,https://purl.stanford.edu/by959cn4518,Sid H. Cantwell retirement luncheon,,4/15/82,still image,http://vocab.getty.edu/aat/300224742
druid:bz020hy9013,https://purl.stanford.edu/bz020hy9013,Black Student Union News conference,,4/27/87,still image,http://vocab.getty.edu/aat/300046300
druid:bz042qg9849,https://purl.stanford.edu/bz042qg9849,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:bz057fg2526,https://purl.stanford.edu/bz057fg2526,Sp13-AFRICAAM-106-01,"Race, Ethnicity, And Linguistic Diversity In Classrooms: Sociocultural Theory And Practices",2013,text,http://vocab.getty.edu/aat/300028026
druid:bz155ts5417,https://purl.stanford.edu/bz155ts5417,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:bz331qk3083,https://purl.stanford.edu/bz331qk3083,Grapevine,,11/29/73,text,
druid:bz366tk4815,https://purl.stanford.edu/bz366tk4815,Black Community Sourcebook,,1989-09,text,http://vocab.getty.edu/aat/300026652
druid:bz526sh1159,https://purl.stanford.edu/bz526sh1159,F16-AFRICAAM-30-01,The Egyptians,2016,text,http://vocab.getty.edu/aat/300028026
druid:bz733hd3245,https://purl.stanford.edu/bz733hd3245,A Cultural Celebration and Dance,,,still image,http://vocab.getty.edu/aat/300224742
druid:bz744jn5782,https://purl.stanford.edu/bz744jn5782,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:bz787tx5991,https://purl.stanford.edu/bz787tx5991,"Protest against Western Civilization requirement, Stanford University",,1988,still image,
druid:bz901vh3608,https://purl.stanford.edu/bz901vh3608,East Palo Alto/Nairobi Legacy Reunion,,7/23/04,still image,http://vocab.getty.edu/aat/300046300
druid:cb239pg2690,https://purl.stanford.edu/cb239pg2690,"Black Lives Matter memorial, Stanford University",,7/12/20,still image,http://vocab.getty.edu/aat/300417379
druid:cb239yy1423,https://purl.stanford.edu/cb239yy1423,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:cb254kq2247,https://purl.stanford.edu/cb254kq2247,"Stanford out of South Africa (SOSA), Sit-in at Old Union",,10/23/85,still image,http://vocab.getty.edu/aat/300046300
druid:cb264gy8053,https://purl.stanford.edu/cb264gy8053,Committee on African Studies reception,,11/2/81,still image,http://vocab.getty.edu/aat/300224742
druid:cb690pk5196,https://purl.stanford.edu/cb690pk5196,"Stanford University, Black Lives Matter website collection, 2020-",,,text,
druid:cb919ps9973,https://purl.stanford.edu/cb919ps9973,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:cb981jf3187,https://purl.stanford.edu/cb981jf3187,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:cc221dh6292,https://purl.stanford.edu/cc221dh6292,Seniors: Four Years in Retrospect,,1997,moving image,
druid:cc284kw5917,https://purl.stanford.edu/cc284kw5917,All-African Women's Student Conference,,5/21/83,still image,http://vocab.getty.edu/aat/300224742
druid:cc337kr6265,https://purl.stanford.edu/cc337kr6265,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:cc351hz7852,https://purl.stanford.edu/cc351hz7852,Keni Washington,,4/6/19,text,http://id.loc.gov/vocabulary/marcgt/int
druid:cc520zm9408,https://purl.stanford.edu/cc520zm9408,"Ski Trip, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:cc687qt8605,https://purl.stanford.edu/cc687qt8605,Collard Greens Cultural Festival,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:cc863jn2316,https://purl.stanford.edu/cc863jn2316,Pacific Coast Africanist Association announces the annual spring palaver,,,still image,
druid:cc924jj0871,https://purl.stanford.edu/cc924jj0871,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
